=====================  =======================  ============================  ====================
Baro_Pressure [KPa]    Temperature [Celsius]    Acceleration [m/s^2]          Magnetic_Field [T]
=====================  =======================  ============================  ====================
76.5020                15.0400                  [0. 0. 0.]                    [0. 0. 0.]
97.4631                12.8537                  [ -1.0748   0.8688 186.3199]  [0. 0. 0.]
97.4218                12.8305                  [ -1.0903   1.2167 186.2771]  [0. 0. 0.]
97.3803                12.8072                  [ -1.0118   1.5198 186.2344]  [0. 0. 0.]
97.3386                12.7838                  [ -0.8736   1.7611 186.1919]  [0. 0. 0.]
97.2967                12.7603                  [ -0.707    1.9379 186.1496]  [0. 0. 0.]
97.2546                12.7366                  [ -0.5366   2.057  186.1074]  [0. 0. 0.]
97.2123                12.7128                  [ -0.3799   2.1302 186.0652]  [0. 0. 0.]
97.1698                12.6889                  [ -0.2478   2.1702 186.0231]  [0. 0. 0.]
97.1271                12.6649                  [ -0.1465   2.1889 185.9809]  [0. 0. 0.]
97.0842                12.6408                  [ -0.0788   2.1958 185.9386]  [0. 0. 0.]
97.0411                12.6165                  [ -0.0457   2.1975 185.8962]  [0. 0. 0.]
96.9978                12.5921                  [ -0.0474   2.1971 185.8536]  [0. 0. 0.]
96.9542                12.5676                  [ -0.0841   2.1946 185.8108]  [0. 0. 0.]
96.9105                12.5430                  [ -0.1553   2.1868 185.7679]  [0. 0. 0.]
96.8666                12.5182                  [ -0.2601   2.1672 185.7249]  [0. 0. 0.]
96.8225                12.4934                  [ -0.3956   2.1262 185.6818]  [0. 0. 0.]
96.7782                12.4684                  [ -0.5556   2.0521 185.6388]  [0. 0. 0.]
96.7337                12.4433                  [ -0.7292   1.9319 185.5958]  [0. 0. 0.]
96.6890                12.4180                  [ -0.8988   1.754  185.553 ]  [0. 0. 0.]
96.6441                12.3927                  [ -1.0397   1.5117 185.5104]  [0. 0. 0.]
96.5991                12.3672                  [ -1.1207   1.2075 185.4679]  [0. 0. 0.]
96.5538                12.3416                  [ -1.1075   0.8589 185.4255]  [0. 0. 0.]
96.5083                12.3159                  [ -0.9698   0.5017 185.383 ]  [0. 0. 0.]
96.4626                12.2901                  [ -0.692    0.1911 185.3401]  [0. 0. 0.]
96.4167                12.2641                  [ -0.286   -0.0037 185.2964]  [0. 0. 0.]
96.3707                12.2381                  [  0.1979  -0.0144 185.2515]  [0. 0. 0.]
96.3244                12.2119                  [  0.6675   0.2037 185.2051]  [0. 0. 0.]
96.2779                12.1855                  [  1.0002   0.6439 185.1574]  [0. 0. 0.]
96.2313                12.1591                  [  1.0748   1.225  185.1087]  [0. 0. 0.]
96.1844                12.1326                  [  0.8202   1.7908 185.0599]  [0. 0. 0.]
